epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0364,1.37049,4.06048,1.05602,0.00423,0.66288,0.01815,0.00835,1.1103,3.6745,0.83278,4.287e-05,4.287e-05,4.287e-05
2,45.9584,1.22824,3.72571,0.97693,0.0063,1,0.23586,0.14043,1.16754,3.51204,0.81474,9.95349e-05,9.95349e-05,9.95349e-05
3,68.8364,1.17782,2.81031,0.9734,0.00631,1,0.5593,0.34653,0.97556,3.37997,0.77093,0.000155634,0.000155634,0.000155634
4,91.755,1.11724,2.20024,0.96611,0.00641,1,0.56818,0.36033,1.00779,3.35244,0.79558,0.000211167,0.000211167,0.000211167
5,115.038,1.03257,1.73844,0.95902,0.00649,1,0.59701,0.35422,1.0052,3.37389,0.76308,0.000266134,0.000266134,0.000266134
6,138.731,1.08515,1.64915,0.98672,0.00662,1,0.47102,0.24617,0.99938,3.41642,0.77485,0.000320535,0.000320535,0.000320535
7,162.476,1.05465,1.46433,0.97842,0.00694,1,0.35311,0.16461,0.9754,3.39747,0.77414,0.000374371,0.000374371,0.000374371
8,186.246,1.00095,1.33552,0.95451,0.00713,1,0.29499,0.13606,1.02355,3.4136,0.78089,0.00042764,0.00042764,0.00042764
9,212.154,1.03666,1.33429,0.97418,0.00713,1,0.15857,0.0739,1.00595,3.36208,0.79681,0.000480344,0.000480344,0.000480344
10,235.949,0.97855,1.26762,0.94999,0.00711,1,0.10296,0.04827,0.97163,3.30569,0.77036,0.000532482,0.000532482,0.000532482
11,260.678,0.94585,1.13589,0.95981,0.00708,1,0.15958,0.07616,0.96481,3.2707,0.79554,0.000584054,0.000584054,0.000584054
12,284.306,0.96974,1.10001,0.97009,0.00697,1,0.54963,0.27445,0.97018,3.19649,0.80532,0.00063506,0.00063506,0.00063506
13,307.58,1.01107,1.12978,0.97349,0.00692,1,0.77382,0.54595,0.92807,3.13952,0.78361,0.0006855,0.0006855,0.0006855
14,330.696,1.0425,1.13719,0.97315,0.00662,1,0.78565,0.47183,0.93913,3.1849,0.78178,0.000735374,0.000735374,0.000735374
15,354.18,0.97883,1.12951,0.97702,0.00665,1,0.98381,0.70046,0.95054,2.94067,0.82661,0.000784682,0.000784682,0.000784682
16,377.516,1.04175,1.00689,0.97699,0.00667,1,0.98474,0.67666,0.99888,2.8342,0.86991,0.000833425,0.000833425,0.000833425
17,400.824,1.00149,1.0644,0.99267,0.00666,1,0.94774,0.63954,1.02562,2.84476,0.89458,0.000881602,0.000881602,0.000881602
18,426.756,0.98142,1.02007,0.96696,0.00666,1,0.9485,0.68361,0.96931,2.52319,0.90071,0.000929212,0.000929212,0.000929212
19,451.01,1.05543,0.972,0.98841,0.78285,1,0.97367,0.71814,0.97745,2.28327,0.88872,0.000976257,0.000976257,0.000976257
20,474.675,0.99007,0.93829,0.98369,1,0.76827,0.995,0.73202,1.01148,2.1117,0.90361,0.00102274,0.00102274,0.00102274
21,498.138,1.05491,0.97653,0.98475,1,0.60949,0.995,0.71289,1.0272,2.11393,0.95138,0.00106865,0.00106865,0.00106865
22,524.057,0.95673,0.93729,0.97486,1,0.63539,0.97357,0.68283,1.05876,2.14197,0.97429,0.001114,0.001114,0.001114
23,547.37,1.00013,0.9527,0.9863,0.98455,0.81649,0.995,0.67707,1.05543,1.89639,0.9741,0.00115878,0.00115878,0.00115878
24,570.976,0.93101,0.91607,0.97635,0.97228,0.98774,0.995,0.66888,1.10036,1.65997,1.01153,0.00120299,0.00120299,0.00120299
25,594.693,1.00637,0.96232,0.96142,0.97042,0.9882,0.995,0.67593,1.02839,1.59115,0.99579,0.00124664,0.00124664,0.00124664
26,618.081,1.01517,1.0199,1.01218,0.97752,0.99188,0.995,0.68825,0.98522,1.48764,0.98826,0.00125216,0.00125216,0.00125216
27,642.086,0.96889,0.92805,0.96642,0.98018,0.9978,0.995,0.68475,0.96981,1.25217,0.99217,0.00124509,0.00124509,0.00124509
28,665.246,0.98909,0.9313,0.9902,0.98311,0.99849,0.995,0.68421,0.98371,1.12776,0.98014,0.00123801,0.00123801,0.00123801
29,688.248,0.93866,0.87987,0.97737,0.96521,0.99417,0.995,0.70512,0.94633,0.97875,0.92692,0.00123094,0.00123094,0.00123094
30,711.524,0.96936,0.8955,0.9774,0.97684,0.9957,0.995,0.70353,0.95748,0.81963,0.93312,0.00122387,0.00122387,0.00122387
31,734.852,0.91964,0.82893,0.97123,0.98658,0.99573,0.995,0.67831,1.00459,0.79927,0.98136,0.00121679,0.00121679,0.00121679
32,758.027,0.97287,0.88409,0.98872,0.99097,0.9873,0.995,0.6985,1.03168,0.87437,0.98441,0.00120972,0.00120972,0.00120972
33,781.398,0.99758,0.99204,0.99012,0.98536,0.98509,0.995,0.68645,1.03085,0.78362,0.96284,0.00120265,0.00120265,0.00120265
34,807.251,0.92723,0.82608,0.95977,0.9927,0.99067,0.995,0.68199,1.0186,0.75557,0.94502,0.00119557,0.00119557,0.00119557
35,830.927,0.89019,0.74783,0.93576,0.99614,0.99021,0.995,0.67609,1.00695,0.74646,0.95085,0.0011885,0.0011885,0.0011885
36,854.405,0.8931,0.80229,0.9461,0.98978,0.98978,0.995,0.67443,0.99047,0.70332,0.96493,0.00118143,0.00118143,0.00118143
37,877.808,0.94533,0.78244,0.9498,0.99146,0.99072,0.995,0.70369,0.96126,0.70475,0.95868,0.00117435,0.00117435,0.00117435
38,901.003,0.87138,0.74882,0.95558,0.99242,0.99392,0.995,0.70779,0.96609,0.66842,0.95385,0.00116728,0.00116728,0.00116728
39,924.061,0.91618,0.74963,0.9551,0.98803,0.99508,0.995,0.71857,1.00057,0.69203,0.96343,0.00116021,0.00116021,0.00116021
40,947.2,0.89466,0.7631,0.95295,0.98689,0.99545,0.995,0.71183,1.00288,0.70416,0.9603,0.00115313,0.00115313,0.00115313
41,971.302,0.93258,0.77124,0.98453,0.987,0.99236,0.995,0.71326,0.96834,0.65944,0.93754,0.00114606,0.00114606,0.00114606
42,994.707,0.92481,0.75777,0.98096,0.99365,0.98656,0.995,0.72756,0.95915,0.63872,0.92647,0.00113898,0.00113898,0.00113898
43,1018.07,0.92253,0.76541,0.95091,0.99358,0.98693,0.995,0.73334,0.95733,0.67769,0.93689,0.00113191,0.00113191,0.00113191
44,1041.61,0.92297,0.80743,0.99285,0.98969,0.98913,0.995,0.72293,1.00284,0.69644,0.96825,0.00112484,0.00112484,0.00112484
45,1065.06,0.9135,0.77395,0.99433,0.98062,0.99338,0.995,0.70971,1.03109,0.7027,0.96716,0.00111776,0.00111776,0.00111776
46,1088.26,0.9106,0.78912,0.93234,0.98099,0.9946,0.995,0.70626,1.00403,0.70107,0.96393,0.00111069,0.00111069,0.00111069
47,1114.09,0.96682,0.82668,1.01061,0.99342,0.9901,0.995,0.70904,0.98836,0.69873,0.97306,0.00110362,0.00110362,0.00110362
48,1137.33,0.87991,0.71414,0.94981,0.99101,0.98102,0.99348,0.70129,0.98139,0.71568,0.98675,0.00109654,0.00109654,0.00109654
49,1160.82,0.86563,0.71131,0.94214,0.97404,0.97946,0.99283,0.69729,0.9946,0.68669,0.99978,0.00108947,0.00108947,0.00108947
50,1184.07,0.8824,0.6883,0.95304,0.98568,0.9563,0.99348,0.72332,0.96602,0.67122,0.98849,0.0010824,0.0010824,0.0010824
51,1207.14,0.86965,0.68352,0.94888,0.98607,0.95578,0.99421,0.72112,0.94709,0.65014,0.98668,0.00107532,0.00107532,0.00107532
52,1230.63,0.91466,0.74692,0.96605,0.97169,0.99248,0.995,0.71649,0.94667,0.64556,0.97273,0.00106825,0.00106825,0.00106825
53,1253.93,0.8769,0.6852,0.93808,0.98214,0.99134,0.995,0.71522,0.93994,0.61259,0.97118,0.00106118,0.00106118,0.00106118
54,1277.26,0.88687,0.70785,0.98022,0.98741,0.99244,0.995,0.7086,0.95302,0.59847,0.98596,0.0010541,0.0010541,0.0010541
55,1300.54,0.90008,0.70007,0.95693,0.9864,0.99459,0.995,0.7058,0.98201,0.61229,0.99991,0.00104703,0.00104703,0.00104703
56,1323.78,0.89683,0.67255,0.94891,0.98531,0.99771,0.995,0.7063,0.98575,0.62434,1.00288,0.00103995,0.00103995,0.00103995
57,1346.75,0.8819,0.73262,0.94028,0.98619,0.99727,0.995,0.70868,0.98592,0.63341,1.00088,0.00103288,0.00103288,0.00103288
58,1369.99,0.89306,0.66284,0.95678,0.99195,0.99348,0.995,0.69551,0.98866,0.62379,0.99703,0.00102581,0.00102581,0.00102581
59,1393.31,0.87682,0.65769,0.92414,0.99353,0.99094,0.995,0.68405,1.00842,0.59833,1.00377,0.00101873,0.00101873,0.00101873
60,1418.95,0.90621,0.72448,0.94905,0.9922,0.98575,0.995,0.67669,1.02766,0.5987,1.00549,0.00101166,0.00101166,0.00101166
61,1442.14,0.88282,0.64128,0.93304,0.99207,0.9857,0.995,0.70295,1.01419,0.60799,0.99755,0.00100459,0.00100459,0.00100459
62,1465.31,0.83162,0.63664,0.92156,0.99,0.9873,0.995,0.72564,0.97211,0.64498,0.97713,0.000997513,0.000997513,0.000997513
63,1488.41,0.84478,0.65116,0.92754,0.99332,0.98903,0.995,0.73523,0.94921,0.63214,0.97441,0.00099044,0.00099044,0.00099044
64,1511.6,0.84061,0.64188,0.95328,0.9959,0.99035,0.995,0.71711,0.96006,0.60793,0.97569,0.000983366,0.000983366,0.000983366
65,1535.98,0.87336,0.65045,0.9466,0.9942,0.99037,0.995,0.71391,0.97785,0.60708,0.98975,0.000976293,0.000976293,0.000976293
66,1559.03,0.8681,0.66481,0.9656,0.99141,0.98663,0.995,0.67323,1.02061,0.62879,1.00953,0.000969219,0.000969219,0.000969219
67,1582.42,0.88509,0.64065,0.95379,0.98765,1,0.995,0.70977,1.00219,0.62346,0.99675,0.000962146,0.000962146,0.000962146
68,1605.48,0.86714,0.64383,0.95941,0.99014,1,0.995,0.72244,0.95652,0.58777,0.96039,0.000955072,0.000955072,0.000955072
69,1628.51,0.90899,0.67437,0.99599,0.98862,1,0.995,0.71326,0.94675,0.57184,0.94918,0.000947999,0.000947999,0.000947999
70,1651.65,0.93462,0.62865,0.95954,0.98825,1,0.995,0.72263,0.94513,0.57142,0.94778,0.000940925,0.000940925,0.000940925
71,1674.89,0.89067,0.64779,0.94808,0.98963,0.99913,0.995,0.70655,0.96855,0.56824,0.95706,0.000933851,0.000933851,0.000933851
72,1698.06,0.8614,0.62916,0.95392,0.98911,0.99285,0.995,0.70401,0.98442,0.58313,0.9684,0.000926778,0.000926778,0.000926778
73,1723.74,0.87267,0.62637,0.94416,0.98748,0.99047,0.995,0.70624,0.97342,0.58281,0.97616,0.000919704,0.000919704,0.000919704
74,1746.82,0.84954,0.60393,0.94513,0.98779,0.99156,0.995,0.70429,0.97684,0.56797,0.98345,0.000912631,0.000912631,0.000912631
75,1770,0.86549,0.6102,0.96026,0.98782,0.99439,0.995,0.71933,0.96801,0.56188,0.98177,0.000905557,0.000905557,0.000905557
76,1793.15,0.84111,0.63461,0.95653,0.98812,0.99003,0.995,0.71433,0.96427,0.5717,0.98373,0.000898484,0.000898484,0.000898484
77,1816.24,0.86754,0.62108,0.9328,0.99132,0.98594,0.995,0.71366,0.97398,0.58918,1.00146,0.00089141,0.00089141,0.00089141
78,1839.5,0.88123,0.59779,0.93165,0.98998,0.9853,0.995,0.7097,0.97973,0.59056,1.01033,0.000884337,0.000884337,0.000884337
79,1862.8,0.81863,0.59329,0.94545,0.99134,0.986,0.995,0.70153,0.98185,0.59245,1.00569,0.000877263,0.000877263,0.000877263
80,1885.89,0.83814,0.61863,0.94418,0.98573,0.98953,0.995,0.7148,0.95728,0.58526,0.99111,0.00087019,0.00087019,0.00087019
81,1909.21,0.84501,0.59138,0.93171,0.98477,0.99287,0.995,0.72108,0.93227,0.55109,0.98978,0.000863116,0.000863116,0.000863116
82,1932.48,0.86492,0.62,0.97972,0.98834,0.99179,0.995,0.74801,0.94104,0.56336,0.99527,0.000856042,0.000856042,0.000856042
83,1955.93,0.82728,0.58186,0.94789,0.99297,0.98976,0.995,0.72441,0.96732,0.58099,1.00886,0.000848969,0.000848969,0.000848969
84,1978.83,0.83686,0.59411,0.90601,0.99182,0.98975,0.995,0.7199,0.97472,0.56829,1.01337,0.000841895,0.000841895,0.000841895
85,2002.61,0.86765,0.58438,0.95401,0.98799,0.99287,0.995,0.70963,0.95689,0.54218,1.00505,0.000834822,0.000834822,0.000834822
86,2028.1,0.82508,0.60732,0.93611,0.98765,0.99533,0.995,0.71731,0.94329,0.53076,0.99562,0.000827748,0.000827748,0.000827748
87,2050.77,0.82654,0.58388,0.93697,0.99191,0.99307,0.995,0.73141,0.9372,0.52507,0.9919,0.000820675,0.000820675,0.000820675
88,2073.37,0.81528,0.5538,0.93238,0.99572,0.9907,0.995,0.7227,0.95973,0.54055,0.99671,0.000813601,0.000813601,0.000813601
89,2095.53,0.82151,0.56331,0.91618,0.99333,0.99132,0.995,0.72116,0.98256,0.54616,1.0098,0.000806528,0.000806528,0.000806528
90,2117.78,0.87575,0.59249,0.95278,0.99547,0.98993,0.995,0.72216,0.98944,0.54748,1.01628,0.000799454,0.000799454,0.000799454
91,2139.9,0.81454,0.53278,0.91987,0.991,0.98993,0.995,0.72656,0.97587,0.53519,1.01041,0.00079238,0.00079238,0.00079238
92,2161.97,0.83748,0.55112,0.92119,0.99126,0.9889,0.995,0.74143,0.96461,0.53566,1.00059,0.000785307,0.000785307,0.000785307
93,2184.36,0.82338,0.54455,0.93638,0.99211,0.98821,0.995,0.75048,0.95573,0.53935,0.99641,0.000778233,0.000778233,0.000778233
94,2206.57,0.78639,0.55422,0.91825,0.99261,0.98804,0.995,0.75866,0.95601,0.53967,0.99834,0.00077116,0.00077116,0.00077116
95,2228.75,0.83348,0.54719,0.93961,0.9909,0.98911,0.995,0.72981,0.97303,0.54762,1.00777,0.000764086,0.000764086,0.000764086
96,2250.64,0.82901,0.56707,0.95128,0.98696,0.99084,0.995,0.73591,0.96797,0.56422,1.00939,0.000757013,0.000757013,0.000757013
97,2272.77,0.83067,0.58247,0.9318,0.98389,0.99265,0.995,0.72771,0.93843,0.55159,1.00735,0.000749939,0.000749939,0.000749939
98,2295.18,0.79663,0.51816,0.91753,0.98337,0.99407,0.995,0.7421,0.93156,0.53149,1.02494,0.000742866,0.000742866,0.000742866
99,2319.74,0.82977,0.52319,0.91243,0.98288,0.9947,0.995,0.7418,0.94624,0.52854,1.03369,0.000735792,0.000735792,0.000735792
100,2341.87,0.84134,0.58061,0.94316,0.98101,0.99513,0.995,0.71876,0.95812,0.51763,1.04302,0.000728719,0.000728719,0.000728719
101,2364.05,0.81933,0.53715,0.90393,0.97768,0.99552,0.995,0.72007,0.96669,0.54335,1.04454,0.000721645,0.000721645,0.000721645
102,2387.56,0.82284,0.56538,0.95014,0.97595,0.99585,0.995,0.72196,0.97568,0.57908,1.03134,0.000714571,0.000714571,0.000714571
103,2409.76,0.84462,0.58443,0.94537,0.97694,0.99604,0.995,0.73572,0.96503,0.56871,1.01903,0.000707498,0.000707498,0.000707498
104,2431.88,0.82305,0.56304,0.934,0.9818,0.99485,0.995,0.7338,0.9326,0.54886,1.00711,0.000700424,0.000700424,0.000700424
105,2454.03,0.84452,0.5153,0.90852,0.98726,0.99339,0.995,0.72171,0.94391,0.51805,1.02035,0.000693351,0.000693351,0.000693351
106,2476.62,0.79649,0.51482,0.91669,0.99142,0.99299,0.995,0.71302,0.9524,0.50173,1.01996,0.000686277,0.000686277,0.000686277
107,2498.69,0.82464,0.53422,0.92649,0.99099,0.994,0.995,0.73302,0.94424,0.48047,1.00512,0.000679204,0.000679204,0.000679204
108,2520.84,0.82743,0.53881,0.94376,0.98553,0.99658,0.995,0.74509,0.94426,0.48271,0.99576,0.00067213,0.00067213,0.00067213
109,2543.85,0.77289,0.51194,0.9167,0.98178,0.99794,0.995,0.74094,0.95168,0.51242,0.98284,0.000665057,0.000665057,0.000665057
110,2568.54,0.81359,0.56224,0.90878,0.9807,0.99727,0.995,0.74463,0.95566,0.52372,0.98003,0.000657983,0.000657983,0.000657983
111,2591.47,0.80563,0.58451,0.92871,0.98305,0.99694,0.995,0.745,0.94605,0.52346,0.97834,0.000650909,0.000650909,0.000650909
112,2615.94,0.81173,0.58635,0.95754,0.98779,0.9983,0.995,0.72917,0.9246,0.51672,0.97957,0.000643836,0.000643836,0.000643836
113,2639.9,0.82679,0.52574,0.94518,0.99101,0.99785,0.995,0.72346,0.91225,0.50457,0.9854,0.000636762,0.000636762,0.000636762
114,2662.17,0.76474,0.48327,0.90344,0.9917,0.99493,0.995,0.72774,0.91845,0.49351,0.99553,0.000629689,0.000629689,0.000629689
115,2684.28,0.80378,0.53716,0.91438,0.99067,0.99226,0.995,0.73085,0.96542,0.50041,1.01685,0.000622615,0.000622615,0.000622615
116,2706.21,0.80538,0.49757,0.91979,0.98874,0.99096,0.995,0.72935,1.00369,0.51285,1.03758,0.000615542,0.000615542,0.000615542
117,2727.95,0.80635,0.51656,0.93517,0.98797,0.99119,0.995,0.73173,1.00035,0.51707,1.03734,0.000608468,0.000608468,0.000608468
118,2749.76,0.82211,0.52634,0.94184,0.98709,0.9931,0.995,0.7455,0.95207,0.50653,1.00828,0.000601395,0.000601395,0.000601395
119,2771.62,0.80506,0.52906,0.95292,0.9856,0.99688,0.995,0.73986,0.91164,0.48556,0.98574,0.000594321,0.000594321,0.000594321
120,2793.53,0.80264,0.50048,0.91335,0.9861,0.99878,0.995,0.73567,0.91605,0.47596,0.98214,0.000587248,0.000587248,0.000587248
121,2815.51,0.81865,0.51479,0.91831,0.98339,0.99627,0.995,0.73233,0.91979,0.47339,0.98575,0.000580174,0.000580174,0.000580174
122,2837.49,0.80818,0.52078,0.92802,0.98221,0.99626,0.995,0.72448,0.92874,0.46744,0.99643,0.0005731,0.0005731,0.0005731
123,2859.71,0.73039,0.50397,0.92871,0.98478,0.99219,0.995,0.72113,0.94151,0.47895,0.99738,0.000566027,0.000566027,0.000566027
124,2881.52,0.76417,0.52993,0.92298,0.98323,0.99379,0.995,0.72712,0.94111,0.48729,0.99596,0.000558953,0.000558953,0.000558953
125,2903.65,0.81011,0.49277,0.92645,0.98327,0.99421,0.995,0.71547,0.9421,0.48092,0.99473,0.00055188,0.00055188,0.00055188
126,2927.36,0.7718,0.49591,0.9148,0.98436,0.99618,0.995,0.72989,0.9513,0.47103,0.9976,0.000544806,0.000544806,0.000544806
127,2949.35,0.81364,0.51134,0.9411,0.98522,0.9976,0.995,0.72922,0.95589,0.47319,1.00037,0.000537733,0.000537733,0.000537733
128,2971.34,0.77623,0.49111,0.92408,0.9851,0.99815,0.995,0.73858,0.94875,0.485,0.99568,0.000530659,0.000530659,0.000530659
129,2993.5,0.72694,0.48921,0.89093,0.98473,0.9983,0.995,0.73786,0.94418,0.48885,0.99178,0.000523586,0.000523586,0.000523586
130,3015.38,0.7541,0.49619,0.91903,0.98459,0.99671,0.995,0.74244,0.93692,0.48978,0.98867,0.000516512,0.000516512,0.000516512
131,3037.24,0.70457,0.49322,0.90184,0.9852,0.99491,0.995,0.7393,0.94277,0.49474,0.99381,0.000509438,0.000509438,0.000509438
